YYYYMM,ZIPCODE,CITY,STATE,TOTAL FROM ZIP,TOTAL BUSINESS,TOTAL FAMILY,TOTAL INDIVIDUAL,TOTAL PERM,TOTAL TEMP,TOTAL TO ZIP,TOTAL BUSINESS,TOTAL FAMILY,TOTAL INDIVIDUAL,TOTAL PERM,TOTAL TEMP
201812,="00601",ADJUNTAS                    ,PR,00000000,00000000,00000000,00000000,00000000,00000000,00000015,00000000,00000000,00000012,00000013,00000000
201812,="00602",AGUADA                      ,PR,00000016,00000000,00000000,00000000,00000015,00000000,00000030,00000000,00000012,00000018,00000026,00000000
201812,="00603",AGUADILLA                   ,PR,00000020,00000000,00000000,00000013,00000015,00000000,00000045,00000000,00000014,00000030,00000034,00000011
201812,="00605",AGUADILLA                   ,PR,00000000,00000000,00000000,00000000,00000000,00000000,00000011,00000000,00000000,00000000,00000000,00000000
201812,="00610",ANASCO                      ,PR,00000000,00000000,00000000,00000000,00000000,00000000,00000028,00000000,00000000,00000019,00000017,00000011
201812,="00612",ARECIBO                     ,PR,00000012,00000000,00000000,00000000,00000012,00000000,00000037,00000000,00000014,00000020,00000035,00000000
201812,="00613",ARECIBO                     ,PR,00000012,00000000,00000000,00000000,00000011,00000000,00000000,00000000,00000000,00000000,00000000,00000000
201812,="00614",ARECIBO                     ,PR,00000014,00000000,00000000,00000000,00000014,00000000,00000000,00000000,00000000,00000000,00000000,00000000
201812,="00617",BARCELONETA                 ,PR,00000024,00000000,00000000,00000017,00000019,00000000,00000000,00000000,00000000,00000000,00000000,00000000
201812,="00622",BOQUERON                    ,PR,00000000,00000000,00000000,00000000,00000000,00000000,00000029,00000000,00000013,00000015,00000012,00000017
201812,="00623",CABO ROJO                   ,PR,00000033,00000000,00000011,00000021,00000029,00000000,00000030,00000000,00000019,00000000,00000023,00000000
201812,="00624",PENUELAS                    ,PR,00000000,00000000,00000000,00000000,00000000,00000000,00000011,00000000,00000000,00000000,00000011,00000000
201812,="00627",CAMUY                       ,PR,00000000,00000000,00000000,00000000,00000000,00000000,00000013,00000000,00000000,00000000,00000013,00000000
201812,="00638",CIALES                      ,PR,00000022,00000000,00000016,00000000,00000022,00000000,00000013,00000000,00000000,00000000,00000012,00000000
201812,="00641",UTUADO                      ,PR,00000000,00000000,00000000,00000000,00000000,00000000,00000025,00000000,00000011,00000013,00000025,00000000
201812,="00646",DORADO                      ,PR,00000042,00000000,00000015,00000023,00000037,00000000,00000074,00000000,00000027,00000041,00000062,00000012
201812,="00653",GUANICA                     ,PR,00000000,00000000,00000000,00000000,00000000,00000000,00000020,00000000,00000000,00000015,00000014,00000000
201812,="00659",HATILLO                     ,PR,00000000,00000000,00000000,00000000,00000000,00000000,00000022,00000000,00000000,00000015,00000019,00000000
201812,="00660",HORMIGUEROS                 ,PR,00000000,00000000,00000000,00000000,00000000,00000000,00000018,00000000,00000000,00000015,00000017,00000000
201812,="00662",ISABELA                     ,PR,00000025,00000000,00000000,00000019,00000023,00000000,00000057,00000000,00000018,00000037,00000040,00000017
201812,="00667",LAJAS                       ,PR,00000013,00000000,00000000,00000000,00000012,00000000,00000019,00000000,00000000,00000011,00000019,00000000
201812,="00669",LARES                       ,PR,00000000,00000000,00000000,00000000,00000000,00000000,00000020,00000000,00000000,00000000,00000020,00000000
201812,="00670",LAS MARIAS                  ,PR,00000000,00000000,00000000,00000000,00000000,00000000,00000015,00000000,00000000,00000013,00000015,00000000
201812,="00674",MANATI                      ,PR,00000000,00000000,00000000,00000000,00000000,00000000,00000023,00000000,00000000,00000017,00000018,00000000
201812,="00676",MOCA                        ,PR,00000000,00000000,00000000,00000000,00000000,00000000,00000019,00000000,00000000,00000000,00000018,00000000
